415.00000	-29.37545
418.00000	-29.36061
420.00000	-29.26400
423.00000	-29.19375
425.00000	-29.03668
428.00000	-28.92390
430.00000	-28.70802
433.00000	-28.55341
435.00000	-28.26909
438.00000	-28.05086
441.00000	-27.68230
443.00000	-27.32532
446.00000	-27.00551
448.00000	-26.53017
451.00000	-26.13673
453.00000	-25.59219
456.00000	-25.06361
458.00000	-24.41688
461.00000	-23.75464
463.00000	-23.01688
466.00000	-22.17329
468.00000	-21.31595
471.00000	-20.26523
473.00000	-19.85344
476.00000	-19.02036
478.00000	-17.71406
481.00000	-16.84904
484.00000	-15.75094
486.00000	-15.16246
489.00000	-15.19396
491.00000	-15.83874
494.00000	-16.55034
496.00000	-17.78944
499.00000	-18.63314
501.00000	-19.85951
504.00000	-20.62624
506.00000	-21.67898
509.00000	-22.31403
511.00000	-23.18633
514.00000	-23.72362
516.00000	-24.47258
519.00000	-24.98269
522.00000	-25.66229
524.00000	-26.22810
527.00000	-26.59126
529.00000	-27.06473
532.00000	-27.37742
534.00000	-27.76616
537.00000	-28.04336
539.00000	-28.35814
542.00000	-28.59788
544.00000	-28.84265
547.00000	-29.05159
549.00000	-29.23510
552.00000	-29.40390
554.00000	-29.55145
557.00000	-29.67138
559.00000	-29.72003
562.00000	-29.79381
565.00000	-29.88194
567.00000	-29.94654
570.00000	-29.97495
572.00000	-30.00783
575.00000	-30.01684
